,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
10,51,1,3,41,1,3,3,9959.0,2068,7891.0,0.741,13810,124,0.797,0.208,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
11,45,0,2,34,4,3,2,3024.0,1835,1189.0,0.793,14220,108,0.662,0.607,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
12,41,0,3,28,1,1,3,9294.0,1764,7530.0,1.026,4531,73,0.738,0.19,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13,50,1,1,39,4,1,1,2421.0,1029,1392.0,0.675,2377,56,0.75,0.425,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
14,43,0,3,13,6,2,1,2605.0,2269,336.0,0.881,5298,79,0.837,0.871,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
15,59,1,2,46,3,3,3,1438.3,0,1438.3,0.688,844,24,0.5,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
16,51,1,3,40,3,3,2,34516.0,1476,33040.0,0.763,14145,119,0.776,0.043,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
17,38,1,2,31,4,3,3,6116.0,1698,4418.0,0.937,1592,32,1.0,0.278,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
18,43,1,4,36,4,1,2,32733.0,1448,31285.0,0.655,3452,54,0.862,0.044,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
19,48,1,3,36,1,4,2,34516.0,1823,32693.0,1.062,15552,108,0.831,0.053,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
20,48,1,4,36,1,1,2,21526.0,1320,20206.0,0.762,14441,105,0.875,0.061,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
21,47,0,2,36,1,3,3,1811.0,0,1811.0,0.61,5390,87,0.776,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
22,38,1,2,36,5,3,4,11444.0,1278,10166.0,1.31,2493,44,0.913,0.112,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
23,40,0,3,28,2,3,3,1535.0,0,1535.0,0.544,1921,41,0.464,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
24,39,0,1,30,3,2,3,2917.0,1357,1560.0,1.593,2422,46,0.438,0.465,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
25,38,0,3,36,2,3,1,1946.0,1430,516.0,0.564,4643,87,0.812,0.735,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
26,47,0,2,36,4,2,2,3139.0,0,3139.0,0.728,4892,95,0.827,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
27,62,1,1,49,3,1,2,2437.0,1400,1037.0,0.779,1651,32,1.0,0.574,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
28,40,1,1,36,6,3,4,18386.0,890,17496.0,0.361,1698,43,0.483,0.048,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
29,59,1,0,52,1,2,2,14458.0,2017,12441.0,0.99,8696,72,0.895,0.14,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
30,46,0,0,36,3,3,2,6853.0,1679,5174.0,0.975,3543,52,1.0,0.245,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
31,41,1,3,27,5,2,2,5784.0,0,5784.0,0.851,4173,80,0.86,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
32,41,0,3,32,2,1,2,3104.0,1954,1150.0,0.473,4699,77,0.925,0.63,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
33,46,0,4,38,5,2,3,3331.0,1307,2024.0,0.617,3946,69,0.683,0.392,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
34,47,1,3,39,5,3,2,22599.0,0,22599.0,1.039,4739,55,0.486,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
35,45,1,4,40,3,2,2,11962.0,1025,10937.0,0.694,1907,52,0.926,0.086,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
36,47,0,4,29,6,1,3,2636.0,1589,1047.0,0.864,3858,70,0.522,0.603,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
37,37,1,2,21,5,2,2,3433.0,964,2469.0,0.526,4444,87,0.642,0.281,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
38,37,1,3,36,3,2,4,1696.0,0,1696.0,0.857,2095,43,0.536,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
39,31,1,0,24,2,2,2,34516.0,984,33532.0,0.913,15347,109,0.787,0.029,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40,59,1,1,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
41,45,1,2,33,6,3,0,23218.0,1814,21404.0,1.178,1749,37,2.083,0.078,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
42,45,0,3,36,3,3,3,4028.0,710,3318.0,0.731,791,22,0.833,0.176,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
43,46,0,2,35,6,4,3,4675.0,1734,2941.0,0.413,1232,34,0.545,0.371,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
44,36,1,3,27,3,1,2,7056.0,0,7056.0,0.815,1739,35,0.842,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
45,52,0,1,41,5,3,6,1764.0,0,1764.0,0.824,2740,47,0.343,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
46,61,1,1,46,5,3,2,2201.0,1138,1063.0,0.675,1199,32,0.6,0.517,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
47,45,1,3,36,3,1,1,10619.0,607,10012.0,0.883,4074,65,0.477,0.057,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
48,50,0,2,40,2,1,1,3449.0,1634,1815.0,0.776,8300,94,0.469,0.474,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
49,57,1,3,36,6,1,4,3478.0,2517,961.0,0.685,1409,49,0.75,0.724,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
50,36,0,1,25,5,1,2,2999.0,1247,1752.0,0.962,2017,40,0.6,0.416,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
51,44,1,3,36,3,3,2,22243.0,1377,20866.0,0.567,3200,91,0.717,0.062,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
52,59,0,0,52,3,3,3,2533.0,2076,457.0,0.738,3816,75,0.829,0.82,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
53,56,1,2,45,5,2,1,1438.3,0,1438.3,0.913,4323,77,0.571,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
54,46,1,3,36,4,3,1,4696.0,0,4696.0,0.732,4828,62,1.583,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
55,53,0,3,42,1,1,3,2915.0,2041,874.0,0.927,4272,70,0.75,0.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
56,54,0,2,43,3,2,1,2019.0,1387,632.0,0.56,1689,36,0.714,0.687,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
57,40,0,2,36,3,1,1,5093.0,2376,2717.0,0.822,2341,57,0.541,0.467,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
58,48,0,3,36,3,1,3,20631.0,2048,18583.0,0.676,4827,77,0.711,0.099,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
59,33,0,2,19,3,2,3,5141.0,1737,3404.0,0.985,5859,82,0.783,0.338,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
60,26,0,0,13,2,2,4,1730.0,1616,114.0,0.331,869,27,0.286,0.934,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
61,56,0,1,47,6,1,2,3022.0,1627,1395.0,0.835,4390,82,0.783,0.538,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
62,53,1,1,36,3,3,3,8979.0,1289,7690.0,0.651,7422,87,0.673,0.144,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
63,47,0,4,27,1,2,2,8837.0,2517,6320.0,0.618,8210,100,0.754,0.285,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
64,47,1,2,35,4,3,2,3636.0,1010,2626.0,0.596,1564,59,0.686,0.278,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
65,40,1,2,36,2,2,1,15594.0,1690,13904.0,0.69,16101,127,0.608,0.108,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
66,47,0,3,33,4,5,2,2990.0,890,2100.0,0.711,4757,79,0.837,0.298,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
67,34,1,3,23,5,1,4,4185.0,2517,1668.0,0.861,2179,55,0.774,0.601,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
68,52,1,2,37,1,3,1,34516.0,1369,33147.0,0.764,7745,82,0.64,0.04,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
69,41,1,3,36,5,3,2,17391.0,1044,16347.0,1.08,1248,27,0.688,0.06,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
70,38,1,3,19,5,2,3,1705.0,0,1705.0,0.604,3342,62,0.824,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
71,29,1,0,22,2,2,3,11722.0,0,11722.0,0.778,8302,78,0.902,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
72,40,0,1,26,2,3,1,3369.0,756,2613.0,0.446,4501,96,0.714,0.224,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
73,49,1,3,36,3,2,1,3261.0,0,3261.0,1.012,3081,50,0.667,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
74,49,0,0,43,6,3,3,2874.0,0,2874.0,0.676,4617,89,0.78,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
75,58,0,2,44,4,2,3,5031.0,1327,3704.0,0.553,1433,34,0.889,0.264,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
76,50,1,4,36,5,1,4,10226.0,1638,8588.0,1.053,3321,57,1.036,0.16,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
77,35,0,0,27,2,3,2,3876.0,0,3876.0,0.848,7712,73,0.825,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
78,48,1,4,44,2,3,3,9524.0,1449,8075.0,0.559,7527,58,0.657,0.152,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
79,52,1,2,46,4,2,4,34516.0,0,34516.0,0.775,4037,87,0.706,0.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
80,48,0,2,36,5,1,3,7151.0,800,6351.0,0.986,854,22,0.375,0.112,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
81,54,1,4,34,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.169,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
82,47,0,2,36,1,3,2,14767.0,948,13819.0,0.999,13090,104,0.625,0.064,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
83,52,0,1,42,4,2,3,2012.0,1230,782.0,0.668,3822,68,0.659,0.611,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
84,43,1,3,33,4,3,4,9382.0,1455,7927.0,0.482,3412,71,0.821,0.155,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
85,31,1,0,36,2,3,3,32791.0,1607,31184.0,0.752,13177,106,0.738,0.049,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
86,60,0,2,54,1,6,2,8141.0,1811,6330.0,1.043,5043,53,0.432,0.222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
87,53,0,1,36,3,2,2,2615.0,1772,843.0,0.611,1419,38,0.357,0.678,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
88,47,0,2,41,4,2,2,2092.0,1575,517.0,0.838,5124,70,0.522,0.753,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
89,43,1,2,36,3,3,2,10700.0,1346,9354.0,0.639,4054,68,0.7,0.126,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
90,44,0,4,39,4,2,2,8128.0,1846,6282.0,0.857,1224,32,0.778,0.227,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
91,65,0,2,53,6,3,2,2195.0,1917,278.0,0.535,4205,65,0.625,0.873,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
92,51,0,3,37,6,1,1,4502.0,1785,2717.0,1.014,4469,87,0.812,0.396,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
93,41,0,3,27,6,1,2,2134.0,1085,1049.0,0.656,4224,75,1.027,0.508,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
94,34,1,1,20,2,1,3,7452.0,1656,5796.0,0.6,3339,51,0.962,0.222,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
95,44,0,3,34,3,3,4,2786.0,1635,1151.0,0.921,4532,82,1.0,0.587,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
96,37,0,2,24,4,1,4,2573.0,1280,1293.0,0.718,4289,81,0.841,0.497,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
97,48,1,4,33,1,3,2,4963.0,2115,2848.0,0.767,4989,78,0.696,0.426,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
98,43,1,2,23,3,3,2,34516.0,1153,33363.0,0.89,4486,71,0.69,0.033,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
99,44,0,5,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
100,49,0,4,36,4,3,1,2432.0,0,2432.0,1.293,4340,76,0.767,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
101,26,0,1,15,5,3,3,2539.0,2162,377.0,0.635,2386,47,0.382,0.852,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
102,47,0,3,34,4,2,1,8109.0,541,7568.0,0.958,3609,77,0.604,0.067,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
103,38,0,2,23,5,3,3,2222.0,1205,1017.0,0.395,1823,49,0.361,0.542,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
104,49,0,4,40,4,2,2,2712.0,1686,1026.0,0.791,4678,74,0.644,0.622,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
105,36,1,1,16,5,3,2,3735.0,2027,1708.0,0.79,1672,48,0.655,0.543,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
106,42,0,3,33,6,2,3,3376.0,1661,1715.0,0.618,4629,75,0.923,0.492,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
107,44,0,2,32,4,2,3,2485.0,1489,996.0,0.779,3697,77,0.833,0.599,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,37,0,2,26,3,2,3,1438.3,743,695.3,0.561,4730,80,0.778,0.517,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
109,41,0,4,36,4,1,0,5654.0,2470,3184.0,0.637,15123,111,0.881,0.437,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
110,42,1,5,27,3,2,3,11880.0,2025,9855.0,0.835,1789,42,1.471,0.17,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
111,52,0,2,48,3,2,4,5299.0,578,4721.0,0.931,4509,79,0.717,0.109,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
112,54,1,2,44,6,3,2,7866.0,0,7866.0,0.76,4238,55,0.719,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
113,42,0,2,29,1,2,2,1622.0,0,1622.0,0.709,4633,67,0.634,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
114,38,1,1,31,6,3,3,7475.0,1473,6002.0,0.775,1592,30,0.429,0.197,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
115,49,0,1,36,1,3,2,5039.0,2489,2550.0,0.875,4770,74,0.947,0.494,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
116,42,0,4,23,3,3,2,7102.0,0,7102.0,0.599,4083,68,0.744,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
117,52,0,3,45,5,1,3,2555.0,1701,854.0,1.492,3127,45,1.25,0.666,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
118,31,0,0,22,4,2,1,3273.0,2517,756.0,1.465,2726,57,0.727,0.769,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
119,37,1,2,36,6,3,2,2463.0,1751,712.0,0.854,2171,58,0.758,0.711,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
120,46,1,3,32,6,2,3,11477.0,0,11477.0,0.767,1260,27,0.688,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
121,45,1,4,36,5,3,4,4112.0,0,4112.0,0.777,2949,54,1.25,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
122,49,0,1,41,4,3,3,1438.3,522,916.3,0.383,2030,37,0.37,0.363,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
123,60,0,0,36,6,3,2,4115.0,1231,2884.0,0.745,3627,61,1.179,0.299,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
124,53,1,1,42,4,1,4,8329.0,877,7452.0,0.432,1570,56,0.333,0.105,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
125,45,1,4,38,1,1,3,9036.0,0,9036.0,0.753,8356,79,0.681,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
126,32,1,0,26,5,2,3,5397.0,1784,3613.0,0.904,2056,49,0.633,0.331,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
127,45,0,4,37,4,2,1,3241.0,0,3241.0,0.629,4992,80,0.739,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
128,52,1,4,45,2,2,3,23070.0,1701,21369.0,0.846,8070,81,0.688,0.074,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
129,47,1,4,37,6,3,3,5726.0,834,4892.0,0.569,2311,58,0.487,0.146,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
130,49,0,2,36,6,2,2,2182.0,1722,460.0,0.937,5377,86,0.654,0.789,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
131,60,0,1,48,1,2,1,34516.0,1542,32974.0,0.603,7443,98,0.556,0.045,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
132,59,1,1,53,5,1,3,2182.0,1558,624.0,0.457,1660,34,0.789,0.714,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
133,33,0,4,29,6,2,3,12716.0,1496,11220.0,1.032,2412,64,0.6,0.118,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
134,42,0,5,28,4,3,2,3044.0,1865,1179.0,0.852,4854,85,1.024,0.613,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
135,47,1,3,35,4,2,5,29812.0,2031,27781.0,0.767,2385,50,0.515,0.068,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
136,52,0,3,47,2,2,3,8018.0,134,7884.0,0.717,2409,38,0.31,0.017,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
137,40,0,2,36,3,2,3,13019.0,0,13019.0,0.487,1484,33,0.435,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
138,36,0,3,36,4,3,0,1558.0,261,1297.0,0.775,2424,40,0.6,0.168,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
139,61,1,2,48,4,1,2,18571.0,0,18571.0,0.594,15802,118,0.686,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
140,48,1,2,38,2,2,3,2111.0,0,2111.0,0.531,773,17,0.133,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
141,59,1,0,52,1,2,1,15223.0,1729,13494.0,0.863,14230,111,0.79,0.114,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
142,64,0,0,36,3,1,3,7112.0,1358,5754.0,0.553,4951,73,0.587,0.191,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
143,46,0,4,27,1,2,3,6030.0,0,6030.0,1.031,4983,62,0.442,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
144,42,0,3,27,6,2,2,2053.0,0,2053.0,0.866,3053,50,0.562,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
145,50,1,2,39,6,4,2,3606.0,1862,1744.0,0.689,3568,92,0.804,0.516,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
146,45,1,2,36,4,3,3,24844.0,1273,23571.0,0.437,6549,75,0.974,0.051,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
147,55,1,2,48,3,2,3,8082.0,1138,6944.0,0.723,4277,59,0.788,0.141,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
148,46,1,2,28,1,1,1,7790.0,1921,5869.0,0.789,14567,131,0.617,0.247,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
149,65,1,1,56,3,3,2,2468.0,2021,447.0,0.906,1797,46,0.586,0.819,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
